NPA,employment_2023,grad_2023,job_density_2022,home_price_2021,home_price_2023,homicide_count
433,95.3,100.0,0,384898.0,494065.0,0
434,98.6,95.2,1,475196.0,595385.0,0
435,100.0,100.0,0,344175.0,423438.0,0
436,94.6,94.1,0,258757.0,354826.0,0
437,96.8,96.7,1,342186.0,495049.0,0
438,98.3,100.0,0,350023.0,587604.0,0
442,98.1,100.0,1,208476.0,326283.0,0
443,93.3,87.5,0,356875.0,468351.0,0
444,96.5,90.0,0,264996.0,359932.0,0
445,98.4,90.9,0,292377.0,410342.0,0
446,89.8,,0,257240.0,397288.0,0
447,97.6,93.1,0,321579.0,415967.0,0
448,98.6,100.0,4,324893.0,433409.0,0
449,89.7,100.0,1,1027839.0,1418063.0,0
450,94.1,96.7,0,399889.0,593103.0,0
451,96.7,97.1,0,473401.0,692947.0,0
452,98.6,88.9,2,331264.0,396469.0,0
453,100.0,78.6,1,232155.0,322067.0,0
454,98.4,100.0,0,393027.0,476431.0,1
455,96.8,100.0,0,358965.0,500778.0,0
456,100.0,,3,441434.0,506412.0,0
457,96.4,100.0,0,363316.0,555526.0,0
458,94.4,93.8,0,343294.0,482317.0,0
459,99.7,93.8,0,352870.0,446321.0,0
460,94.4,90.9,2,296322.0,382462.0,0
462,88.0,80.0,0,442964.0,601965.0,0
463,98.0,92.0,1,267843.0,373971.0,0
464,95.4,97.8,1,365018.0,528309.0,0
465,97.2,92.3,1,319758.0,461857.0,0
466,95.4,96.7,0,296757.0,494380.0,0
467,97.5,100.0,6,328083.0,451210.0,0
468,89.9,,2,630400.0,1099500.0,0
469,95.7,100.0,0,551965.0,770712.0,0
470,100.0,100.0,1,461163.0,670302.0,0
471,99.1,95.7,2,295417.0,415297.0,0
472,100.0,100.0,0,663067.0,1100345.0,0
473,99.8,80.0,8,348305.0,485542.0,0
474,100.0,100.0,2,436917.0,798000.0,0
475,94.0,100.0,1,510148.0,866494.0,0
476,96.9,90.9,84,343830.0,421799.0,39
