X,Y,OBJECTID,ID,CRIME_REPORT_ID,AGE,GENDER,RACE_ETHNICITY,CLEARANCE_STATUS,IPV,WEAPON,LOCATION,X_COORD_PUBLIC,Y_COORD_PUBLIC,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,CLEARANCE_DATE,CIRCUMSTANCES,COUNCIL_DISTRICT,COMMISSION_DISTRICT,CORRIDOR,CALENDAR_YEAR,CALENDAR_MONTH,DATE_REPORTED
1439646.00006314,528941.000053555,809,809,20180405-1603-02,20,Male,Hispanic,Cleared by Arrest,,Handgun,4200 SOUTH BV,1439646,528941,35.188818,-80.875624,Westover,13,2018/05/10 00:00:00+00,Other/Unknown,3,2,,2018,04,2018/04/05 00:00:00+00
1478701.00003697,550418.000078484,810,810,20180403-0615-01,36,Female,Hispanic,Cleared by Arrest,,Handgun,6200 BARRINGTON DR,1478701,550418,35.249777,-80.746191,North Tryon,249,2018/05/08 00:00:00+00,Robbery,5,3,,2018,04,2018/04/03 00:00:00+00
1423313.9999188,512773.999907315,811,811,20180329-1149-01,20,Male,Black,Cleared by Arrest,,Handgun,8100 S TRYON ST,1423314,512774,35.143544,-80.929226,Steele Creek,96,2018/03/30 00:00:00+00,Drugs,3,2,,2018,03,2018/03/29 00:00:00+00
1439532.99996105,552850.000135735,812,812,20180321-2352-02,30,Male,Black,Open,,Rifle,300 JONES ST,1439533,552850,35.254495,-80.877516,Metro,88,,Other/Unknown,2,2,,2018,03,2018/03/21 00:00:00+00
1466301.99990064,550113.000032306,813,813,20180307-0621-02,37,Male,Black,Cleared by Arrest,,Firearm,4100 ATMORE ST,1466302,550113,35.248333,-80.787697,North Tryon,344,2018/11/07 00:00:00+00,Other/Unknown,1,3,,2018,03,2018/03/07 00:00:00+00
1483010.99994713,562900.000048816,814,814,20180202-0949-02,19,Male,Black,Cleared by Arrest,,Firearm,8600 OLD CONCORD RD,1483011,562900,35.284276,-80.732487,University City,221,2018/03/22 00:00:00+00,Other/Unknown,4,3,,2018,02,2018/02/02 00:00:00+00
1413583.00002389,562374.000116557,815,815,20180201-2029-00,25,Male,Black,Cleared by Arrest,,Handgun,300 RHYNE STATION RD,1413583,562374,35.279278,-80.965056,Freedom,34,2018/02/02 00:00:00+00,Drugs,3,2,,2018,02,2018/02/01 00:00:00+00
1451110.00010097,557373.999945983,816,816,20180120-0001-01,16,Male,Black,Open,,Handgun,2400 CARMINE ST,1451110,557374,35.267518,-80.839024,Metro,363,,Other/Unknown,1,3,,2018,01,2018/01/20 00:00:00+00
1495510.99988148,566717.999958724,817,817,20180115-1609-01,35,Male,Black,Open,Intimate Partner,Handgun,13300 ASHLEY MEADOW DR,1495511,566718,35.295357,-80.690824,University City,377,,Domestic,4,3,,2018,01,2018/01/15 00:00:00+00
1415281.99990672,569292.000060067,818,818,20180113-1822-00,3,Male,Black,Exceptionally Cleared,,Unknown,2100 SEBASTIANI DR,1415282,569292,35.298375,-80.959821,Freedom,332,2018/05/16 00:00:00+00,Domestic,2,2,,2018,01,2018/01/13 00:00:00+00
